30/07/2017 11:53:37,,,,,,,,,,,,,,,,,,,
Type,Welsh Type,Latin,English,Welsh,Plural,Gender,unknown,unknown,Category,SubCategory,Welsh Details,English Details,Wiki Link,Picture Credit,Picture Link,Visitor,Rare,Location,unused
bird,adar,Diomedea albatrus,short-tailed albatross,albatros Ynys Izu,albatrosiaid Ynys Izu,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea nigripes,black-footed albatross,albatros troetddu,albatrosiaid troetddu,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea immutabilis,Laysan albatross,albatros Laysan,albatrosiaid Laysan,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea melanophris,black-browed albatross,albatros aelddu,albatrosiaid aelddu,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea bulleri,Buller's albatross,albatros Buller,albatrosiaid Buller,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea amsterdamensis,Amsterdam Island albatross,albatros Ynys Amsterdam,albatrosiaid Ynys Amsterdam,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea cauta,shy albatross,albatros swil,albatrosiaid swil,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea steadi,white-capped albatross,albatros penwyn,albatrosiaid penwyn,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea chlororhynchos,yellow-nosed albatross,albatros ffroenfelyn,albatrosiaid ffroenfelyn,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea chrysotoma,grey-headed albatross,albatros penllwyd,albatrosiaid penllwyd,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Phoebetria fusca,sooty albatross,albatros du,albatrosiaid duon,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Phoebetria palpebrata,light-mantled sooty albatross,albatros du cefnllwyd,albatrosiaid du cefnllwyd,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
